0	1.300000	1.400000	1.300000
	-0.229914	0.677280	-0.229914
1	1.300000	1.350000	1.350000
	-0.229914	0.207524	0.207524
2	1.325000	1.350000	1.325000
	-0.015104	0.207524	-0.015104
3	1.325000	1.337500	1.337500
	-0.015104	0.095217	0.095217
4	1.325000	1.331250	1.331250
	-0.015104	0.039810	0.039810
5	1.325000	1.328125	1.328125
	-0.015104	0.012291	0.012291
6	1.326562	1.328125	1.326562
	-0.001422	0.012291	-0.001422
7	1.326562	1.327344	1.327344
	-0.001422	0.005431	0.005431
8	1.326562	1.326953	1.326953
	-0.001422	0.002004	0.002004
9	1.326562	1.326758	1.326758
	-0.001422	0.000291	0.000291
10	1.326660	1.326758	1.326660
	-0.000566	0.000291	-0.000566
11	1.326709	1.326758	1.326709
	-0.000137	0.000291	-0.000137
12	1.326709	1.326733	1.326733
	-0.000137	0.000077	0.000077
13	1.326721	1.326733	1.326721
	-0.000030	0.000077	-0.000030
14	1.326721	1.326727	1.326727
	-0.000030	0.000023	0.000023
15	1.326724	1.326727	1.326724
	-0.000004	0.000023	-0.000004
16	1.326724	1.326726	1.326726
	-0.000004	0.000010	0.000010
17	1.326724	1.326725	1.326725
	-0.000004	0.000003	0.000003
18	1.326725	1.326725	1.326725
	-0.000000	0.000003	-0.000000
19	1.326725	1.326725	1.326725
	-0.000000	0.000001	0.000001
20	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
21	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
22	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
23	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
24	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
25	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
26	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
27	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
28	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
29	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
30	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
31	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
32	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
33	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
34	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
35	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
36	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
37	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
38	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
39	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
40	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
41	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
42	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
43	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
44	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
45	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
46	1.326725	1.326725	1.326725
	-0.000000	0.000000	-0.000000
47	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
48	1.326725	1.326725	1.326725
	-0.000000	0.000000	0.000000
49	1.326725	1.326725	1.326725
	0.000000	0.000000	0.000000
